id,data,ulica_1,ulica_2,sygnalizacja,rodzaj_zdarzenia,warunki_oswietleniowe,warunki_pogodowe,rodzaj_drogi,ograniczenie_predkosci [km/h],typ_nawierzchni,stan_nawierzchni,oznakowanie_poziome,rodzaj_skrzyzowania,teren_zabudowany,skrzyzowanie,teren_zabudowany_bin,nawierzchnia_twarda_bin,znaki_poziome_bin,wykroczenie,id_skrzyzowania
120332646,2022-02-14,WAWELSKA,GRÓJECKA,działa,Zderzenie pojazdów czołowe,"Świt, zmrok",Dobre warunki atmosferyczne,Dwie jezdnie jednokierunkowe,50,Twarda,Sucha,Jest,Z drogą z pierwsz.,Obszar zabudowany,WAWELSKA / GRÓJECKA,1,1,1,Nieustąpienie pierwszeństwa przejazdu,20
120343527,2022-02-15,WAWELSKA,GRÓJECKA,działa,Zderzenie pojazdów boczne,Noc - droga oświetlona,Dobre warunki atmosferyczne,Dwie jezdnie jednokierunkowe,50,Twarda,Sucha,Jest,Z drogą z pierwsz.,Obszar zabudowany,WAWELSKA / GRÓJECKA,1,1,1,Nieustąpienie pierwszeństwa przejazdu,20
120357758,2022-02-22,WAWELSKA,GRÓJECKA,działa,Najechanie na pieszego,Noc - droga oświetlona,Dobre warunki atmosferyczne,Dwie jezdnie jednokierunkowe,50,Twarda,Sucha,Jest,Z drogą z pierwsz.,Obszar zabudowany,WAWELSKA / GRÓJECKA,1,1,1,Nieustąpienie pierwszeństwa pieszemu na przejściu dla pieszych,20
120396694,2022-03-12,WAWELSKA,GRÓJECKA,działa,Zderzenie pojazdów boczne,Światło dzienne,Dobre warunki atmosferyczne,Dwie jezdnie jednokierunkowe,50,Twarda,Sucha,Jest,Z drogą z pierwsz.,Obszar zabudowany,WAWELSKA / GRÓJECKA,1,1,1,Nieustąpienie pierwszeństwa przejazdu,20
120748435,2022-06-04,WAWELSKA,GRÓJECKA,działa,Zderzenie pojazdów czołowe,Światło dzienne,Dobre warunki atmosferyczne,Dwie jezdnie jednokierunkowe,50,Twarda,Sucha,Jest,Z drogą z pierwsz.,Obszar zabudowany,WAWELSKA / GRÓJECKA,1,1,1,Nieprawidłowe zmienianie pasa ruchu,20
120822327,2022-06-21,WAWELSKA,GRÓJECKA,działa,Zderzenie pojazdów boczne,Noc - droga nieoświetlona,Dobre warunki atmosferyczne,Dwie jezdnie jednokierunkowe,50,Twarda,Sucha,Jest,Z drogą z pierwsz.,Obszar zabudowany,WAWELSKA / GRÓJECKA,1,1,1,Nieustąpienie pierwszeństwa przejazdu,20
123880138,2022-11-10,WAWELSKA,GRÓJECKA,działa,Zderzenie pojazdów boczne,Światło dzienne,Pochmurno,Dwie jezdnie jednokierunkowe,50,Twarda,Mokra,Jest,Z drogą z pierwsz.,Obszar zabudowany,WAWELSKA / GRÓJECKA,1,1,1,Nieustąpienie pierwszeństwa przejazdu,20
125258834,2023-04-16,WAWELSKA,GRÓJECKA,działa,Zderzenie pojazdów tylne,Noc - droga oświetlona,Dobre warunki atmosferyczne,Dwie jezdnie jednokierunkowe,50,Twarda,Sucha,Jest,Z drogą z pierwsz.,Obszar zabudowany,WAWELSKA / GRÓJECKA,1,1,1,Niezachowanie bezp. odleg. między pojazdami,20
125570794,2023-06-16,WAWELSKA,GRÓJECKA,działa,Zderzenie pojazdów boczne,Światło dzienne,Dobre warunki atmosferyczne,Dwie jezdnie jednokierunkowe,50,Twarda,Sucha,Jest,Z drogą z pierwsz.,Obszar zabudowany,WAWELSKA / GRÓJECKA,1,1,1,Nieprawidłowe zmienianie pasa ruchu,20
125732914,2023-10-07,WAWELSKA,GRÓJECKA,działa,Zderzenie pojazdów boczne,Światło dzienne,Pochmurno,Dwie jezdnie jednokierunkowe,50,Twarda,Mokra,Jest,Z drogą z pierwsz.,Obszar zabudowany,WAWELSKA / GRÓJECKA,1,1,1,Nieustąpienie pierwszeństwa przejazdu,20
125881362,2024-01-12,WAWELSKA,GRÓJECKA,działa,Zderzenie pojazdów boczne,"Świt, zmrok",Pochmurno,Dwie jezdnie jednokierunkowe,50,Twarda,Mokra,Jest,Z drogą z pierwsz.,Obszar zabudowany,WAWELSKA / GRÓJECKA,1,1,1,Nieprawidłowe zmienianie pasa ruchu,20
125953814,2024-02-27,WAWELSKA,GRÓJECKA,działa,Zderzenie pojazdów tylne,"Świt, zmrok",Dobre warunki atmosferyczne,Dwie jezdnie jednokierunkowe,50,Twarda,Sucha,Jest,Z drogą z pierwsz.,Obszar zabudowany,WAWELSKA / GRÓJECKA,1,1,1,Niezachowanie bezp. odleg. między pojazdami,20
125999688,2024-03-29,WAWELSKA,GRÓJECKA,działa,Zderzenie pojazdów boczne,Noc - droga oświetlona,Dobre warunki atmosferyczne,Dwie jezdnie jednokierunkowe,50,Twarda,Mokra,Jest,Z drogą z pierwsz.,Obszar zabudowany,WAWELSKA / GRÓJECKA,1,1,1,Nieustąpienie pierwszeństwa przejazdu,20
126145747,2024-05-12,WAWELSKA,GRÓJECKA,działa,Inne,Światło dzienne,Dobre warunki atmosferyczne,Dwie jezdnie jednokierunkowe,50,Twarda,Sucha,Jest,Z drogą z pierwsz.,Obszar zabudowany,WAWELSKA / GRÓJECKA,1,1,1,Nieustąpienie pierwszeństwa przejazdu,20
126245637,2024-07-05,WAWELSKA,GRÓJECKA,działa,Inne,Światło dzienne,Dobre warunki atmosferyczne,Dwie jezdnie jednokierunkowe,50,Twarda,Sucha,Jest,Z drogą z pierwsz.,Obszar zabudowany,WAWELSKA / GRÓJECKA,1,1,1,Inne przyczyny,20
126261513,2024-07-20,WAWELSKA,GRÓJECKA,działa,Zderzenie pojazdów boczne,Światło dzienne,Dobre warunki atmosferyczne,Dwie jezdnie jednokierunkowe,50,Twarda,Sucha,Jest,Z drogą z pierwsz.,Obszar zabudowany,WAWELSKA / GRÓJECKA,1,1,1,Nieprawidłowe skręcanie,20
126283933,2024-08-07,WAWELSKA,GRÓJECKA,działa,Zderzenie pojazdów tylne,Światło dzienne,Dobre warunki atmosferyczne,Dwie jezdnie jednokierunkowe,50,Twarda,Sucha,Jest,Z drogą z pierwsz.,Obszar zabudowany,WAWELSKA / GRÓJECKA,1,1,1,Niedostosowanie prędkości do warunków ruchu,20
126288392,2024-08-07,WAWELSKA,GRÓJECKA,działa,Zderzenie pojazdów tylne,Światło dzienne,Dobre warunki atmosferyczne,Dwie jezdnie jednokierunkowe,50,Twarda,Sucha,Jest,Z drogą z pierwsz.,Obszar zabudowany,WAWELSKA / GRÓJECKA,1,1,1,Niedostosowanie prędkości do warunków ruchu,20
126298139,2024-08-19,WAWELSKA,GRÓJECKA,działa,Zderzenie pojazdów boczne,Światło dzienne,Dobre warunki atmosferyczne,Dwie jezdnie jednokierunkowe,50,Twarda,Sucha,Jest,Z drogą z pierwsz.,Obszar zabudowany,WAWELSKA / GRÓJECKA,1,1,1,Nieprawidłowe zmienianie pasa ruchu,20
126314513,2024-09-04,WAWELSKA,GRÓJECKA,działa,Zderzenie pojazdów boczne,Światło dzienne,Dobre warunki atmosferyczne,Dwie jezdnie jednokierunkowe,50,Twarda,Sucha,Jest,Z drogą z pierwsz.,Obszar zabudowany,WAWELSKA / GRÓJECKA,1,1,1,Nieustąpienie pierwszeństwa przejazdu,20
126338101,2024-09-20,WAWELSKA,GRÓJECKA,działa,Zderzenie pojazdów boczne,Noc - droga oświetlona,Dobre warunki atmosferyczne,Dwie jezdnie jednokierunkowe,50,Twarda,Sucha,Jest,Z drogą z pierwsz.,Obszar zabudowany,WAWELSKA / GRÓJECKA,1,1,1,Nieustąpienie pierwszeństwa przejazdu,20
126339365,2024-09-20,WAWELSKA,GRÓJECKA,działa,Zderzenie pojazdów boczne,Światło dzienne,Dobre warunki atmosferyczne,Dwie jezdnie jednokierunkowe,50,Twarda,Sucha,Jest,Z drogą z pierwsz.,Obszar zabudowany,WAWELSKA / GRÓJECKA,1,1,1,Nieprawidłowe zmienianie pasa ruchu,20
